EmployeeID,FullName,Department,Gender,Age,AnnualSalary,Country
E02387,Emily Davis,IT,Female,55,141604,United States
E04105,Theodore Dinh,IT,Male,59,99975,China
E02572,Luna Sanders,Finance,Female,50,163099,United States
E02832,Penelope Jordan,IT,Female,26,84913,United States
E01639,Austin Vo,Finance,Male,55,95409,United States
E00644,Joshua Gupta,Sales,Male,57,50994,China
E01550,Ruby Barnes,IT,Female,27,119746,United States
E04332,Luke Martin,Finance,Male,25,41336,United States
E04533,Easton Bailey,Accounting,Male,29,113527,United States
E03838,Madeline Walker,Finance,Female,34,77203,United States
E00591,Savannah Ali,Human Resources,Female,36,157333,United States
E03344,Camila Rogers,Engineering,Female,27,109851,United States
E00530,Eli Jones,Human Resources,Male,59,105086,United States
E04239,Everleigh Ng,Finance,Female,51,146742,China
E03496,Robert Yang,Accounting,Male,31,97078,United States
E00549,Isabella Xi,Marketing,Female,41,249270,United States
E00163,Bella Powell,Finance,Female,65,175837,United States
E00884,Camila Silva,Marketing,Female,64,154828,United States
E04116,David Barnes,IT,Male,64,186503,United States
E04625,Adam Dang,Sales,Male,45,166331,China
E03680,Elias Alvarado,IT,Male,56,146140,Brazil
E04732,Eva Rivera,Sales,Female,36,151703,United States
E03484,Logan Rivera,IT,Male,59,172787,Brazil
E00671,Leonardo Dixon,Sales,Male,37,49998,United States
E02071,Mateo Her,Sales,Male,44,207172,China
E02206,Jose Henderson,Human Resources,Male,41,152239,United States
E04545,Abigail Mejia,Engineering,Female,56,98581,Brazil
E00154,Wyatt Chin,Engineering,Male,43,246231,United States
E03343,Carson Lu,Engineering,Male,64,99354,China
E00304,Dylan Choi,IT,Male,63,231141,China
E02594,Ezekiel Kumar,IT,Male,28,54775.00,United States
E00402,Dominic Guzman,Finance,Male,65,55499.00,Brazil
E01994,Angel Powell,Sales,Male,61,66521.00,United States
E03549,Mateo Vu,Sales,Male,30,59100.00,China
E03247,Caroline Jenkins,Finance,Female,27,49011.00,United States
E02074,Nora Brown,IT,Female,32,99575.00,United States
E04152,Adeline Huang,Engineering,Female,34,99989.00,China
E01628,Jackson Perry,Marketing,Male,27,256420.00,United States
E04285,Riley Padilla,IT,Female,35,78940.00,United States
E01417,Leah Pena,IT,Female,57,82872.00,Brazil
E01754,Owen Lam,Human Resources,Male,30,86317.00,China
E03749,Kennedy Foster,Marketing,Female,53,113135.00,United States
E03574,John Moore,IT,Male,52,199808.00,United States
E04600,William Vu,Sales,Male,37,56037.00,China
E00586,Sadie Washington,Marketing,Female,29,122350.00,United States
E03538,Gabriel Holmes,IT,Male,40,92952.00,United States
E02185,Wyatt Rojas,IT,Male,32,79921.00,United States
E03830,Eva Coleman,IT,Female,37,167199.00,United States
E03720,Dominic Clark,Engineering,Male,52,71476.00,United States
E03025,Lucy Alexander,Engineering,Female,45,189420.00,United States
E04917,Everleigh Washington,Human Resources,Female,64,64057.00,United States
E00415,Leilani Butler,Marketing,Female,27,68728.00,United States
E02862,Peyton Huang,IT,Female,25,125633.00,China
E04207,John Contreras,Marketing,Male,35,66889.00,United States
E02139,Rylee Yu,Accounting,Female,36,178700.00,United States
E01797,Piper Lewis,Engineering,Female,33,83990.00,United States
E01839,Stella Alexander,Engineering,Female,52,102043.00,United States
E01633,Addison Do,Engineering,Female,46,90678.00,United States
E01848,Zoey Jackson,Human Resources,Female,46,59067.00,United States
E00716,John Chow,Marketing,Male,45,135062.00,China
E00699,Ava Ayala,IT,Female,55,159044.00,Brazil
E00502,Natalia Salazar,Accounting,Female,44,74691.00,Brazil
E04000,Skylar Carrillo,Engineering,Female,44,92753.00,United States
E02112,Christian Sanders,Human Resources,Male,45,236946.00,United States
E03824,Penelope Coleman,Finance,Female,36,48906.00,United States
E03906,Piper Richardson,Sales,Female,38,80024.00,United States
E00436,Everly Walker,Human Resources,Female,41,54415.00,United States
E04798,Aurora Ali,Marketing,Female,30,120341.00,United States
E01249,Penelope Guerrero,IT,Female,43,208415.00,United States
E03349,Anna Mehta,IT,Female,32,78844.00,United States
E02966,William Foster,Engineering,Male,58,76354.00,United States
E01499,Jade Rojas,Finance,Female,37,165927.00,United States
E00105,Isla Espinoza,Accounting,Female,38,109812.00,Brazil
E00665,David Chu,Engineering,Male,55,86299.00,United States
E00791,Thomas Padilla,Marketing,Male,57,206624.00,Brazil
E01540,Miles Salazar,IT,Male,36,53215.00,Brazil
E04474,Mila Hong,Engineering,Female,30,86858.00,China
E03417,Benjamin Moua,IT,Male,40,93971.00,China
E00254,Samuel Morales,Finance,Male,34,57008.00,United States
